 YEAR , REGION , Quarter 1 , Quarter 2 , Quarter 3  , Quarter 4 , TOTAL 
2015,ASIA," 5,864,167 "," 5,585,678 "," 5,891,517 "," 6,118,251 "," 23,459,613 "
2015,AMERICAS," 99,798 "," 86,824 "," 86,849 "," 86,659 "," 360,130 "
2015,OCEANIA," 136,251 "," 124,982 "," 151,543 "," 138,927 "," 551,703 "
2015,EUROPE," 349,019 "," 259,023 "," 316,694 "," 291,817 "," 1,216,553 "
2015,AFRICA," 31,864 "," 27,106 "," 35,056 "," 33,956 "," 127,982 "
2015, OTHERS ," 1,597 ", 991 ," 1,265 "," 1,417 "," 5,270 "
2016,ASIA," 6,102,757 "," 5,955,759 "," 6,173,658 "," 6,542,000 "," 24,774,174 "
2016,AMERICAS," 93,361 "," 76,293 "," 76,115 "," 76,565 "," 322,334 "
2016,OCEANIA," 111,114 "," 94,717 "," 112,996 "," 116,406 "," 435,233 "
2016,EUROPE," 326,864 "," 220,629 "," 303,258 "," 261,148 "," 1,111,899 "
2016,AFRICA," 30,625 "," 18,827 "," 30,251 "," 30,240 "," 109,943 "
2016, OTHERS ," 1,259 ", 570 , 877 ," 1,103 "," 3,809 "
2017,ASIA," 6,117,986 "," 5,891,957 "," 5,968,011 "," 6,053,908 "," 24,031,862 "
2017,AMERICAS," 83,559 "," 73,741 "," 75,191 "," 76,076 "," 308,567 "
2017,OCEANIA," 101,833 "," 94,612 "," 105,614 "," 109,611 "," 411,670 "
2017,EUROPE," 303,778 "," 237,954 "," 307,086 "," 243,975 "," 1,092,793 "
2017,AFRICA," 24,313 "," 20,837 "," 28,468 "," 28,577 "," 102,195 "
2017, OTHERS , 200 , 296 , 499 , 377 ," 1,372 "
2018, ASIA ," 5,936,223 "," 5,743,345 "," 6,079,264 "," 5,942,255 "," 23,701,087 "
2018, AMERICAS ," 107,344 "," 94,584 "," 93,970 "," 93,899 "," 389,797 "
2018, OCEANIA ," 102,639 "," 91,570 "," 105,806 "," 108,422 "," 408,437 "
2018, EUROPE ," 336,460 "," 249,560 "," 329,832 "," 262,096 "," 1,177,948 "
2018, AFRICA ," 36,818 "," 30,537 "," 46,141 "," 38,895 "," 152,391 "
2018, OTHERS , 734 , 554 , 734 , 672 ," 2,694 "
2019,ASIA," 6,121,036 "," 6,157,867 "," 6,151,130 "," 5,491,424 "," 23,921,457 "
2019,AMERICAS," 108,651 "," 100,361 "," 102,033 "," 95,677 "," 406,722 "
2019,OCEANIA," 102,336 "," 102,955 "," 108,929 "," 111,277 "," 425,497 "
2019,EUROPE," 327,994 "," 262,835 "," 338,994 "," 251,481 "," 1,181,304 "
2019,AFRICA," 35,644 "," 33,827 "," 52,809 "," 41,061 "," 163,341 "
2019, OTHERS , 569 , 500 , 733 , 661 ," 2,463 "
2020,ASIA,"3,790,852","18,963","42,784"," 31,126 "," 3,883,725 "
2020,AMERICAS,"75,778",106,496, 333 ," 76,713 "
2020,OCEANIA,"81,737",72,417, 375 ," 82,601 "
2020,EUROPE,"256,716",354,"2,248"," 1,105 "," 260,423 "
2020,AFRICA,"27,856",44,456, 343 ," 28,699 "
2020, OTHERS ,516,3,21, 21 , 561 
